count,Date of Band,Location,Territory,Band Prefix,Band Suffix,Band Leg,Age,Sex,Genetic Blood Sample,Parasite Screen,DNA SEX,Date-#1 Mass,Weight-#1 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#2 Mass,Weight-#2 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#3 Mass,Weight-#3 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#4 Mass,Weight-#4 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#5 Mass,Weight-#5 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#6 Mass,Weight-#6 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#7 Mass,Weight-#7 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#8 Mass,Weight-#8 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#9 Mass,Weight-#9 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#10 Mass,Weight-#10 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#11 Mass,Weight-#11 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Misc.,Comments,Date-#11 Mass,Weight-#2 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#12 Mass,Weight-#2 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm)
27,7/21/1982,MEF,A10,1373,33628,,L,?,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7/21/1982,MEF,A10,1373,33629,,L,?,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7/22/1982,MEF,A15,1373,33630,,L,?,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7/22/1982,MEF,A15,1373,33631,,L,?,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7/22/1982,MEF,A15,1373,33632,,L,?,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6/1/1983,MEF,A11,1373,33633,,Ad,F,,,,6/1/1983,75,,,,,6/15/1983,68,,,,,8/2/1983,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6/13/1983,MEF,A4,1373,33634,,Ad,M,,,,6/13/1983,56,,,,,6/27/1983,58.5,,,,,8/4/1983,60,,,,,8/19/1983,56.8,,,,,9/13/1983,56.5,,,,,10/6/1983,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6/27/1983,MEF,A11,1373,33635,,Ad,M,,,,6/27/1983,60.5,,,,,6/19/1984,62,,,,,7/2/1985,55,,,,,7/9/1987,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7/15/1983,MEF,A4,1373,33636,,L,?,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7/15/1983,MEF,A4,1373,33637,,L,?,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7/19/1983,MEF,A29,1373,33638,,L,?,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7/19/1983,MEF,A29,1373,33639,,L,?,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7/19/1983,MEF,A29,1373,33640,,L,?,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,7/20/1983,Spring Creek,Mn1,1373,33641,,L,?,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7/20/1983,Spring Creek,Mn1,1373,33642,,L,?,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7/27/1983,MEF,A11,1373,33643,,L,?,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7/27/1983,MEF,A11,1373,33644,,L,?,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. J2233645 & 33646 lost,,,,,,,,,,,,,
44,6/19/1984,MEF,A12,1373,33647,L. Leg,Ad,M,,,,6/19/1984,52.5,,,,,7/15/1985,50,,,,,7/10/1986,49.5,,,,,7/10/1987,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6/19/1984,MEF,A11,1373,33648,L. Leg,Ad,F,,,,6/19/1984,85.5,,,,,7/2/1985,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6/19/1984,MEF,A15,1373,33649,L. Leg,Ad,F,,,,6/19/1984,76.8,,,,,7/1/1985,59,,,,,7/16/1985,60.5,,,,,7/9/1986,56.5,,,,,7/7/1988,76,,,,,7/6/1989,62.5,,,,,7/7/1990,62,139,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6/19/1984,MEF,A15,1373,33650,R. Leg,Ad,M,,,,6/19/1984,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6/20/1984,MEF,A29,1373,33651,L. Leg,Ad,M,,,,6/20/1984,59.5,,,,,7/10/1985,55,,,,,9/18/1985,68,,,,,7/9/1987,53,,,,,7/13/1994,64,135,108,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7/3/1984,MEF,A11,1373,33652,,L,?,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7/3/1984,MEF,A11,1373,33653,,L,?,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7/3/1984,MEF,A11,1373,33654,,L,?,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,7/3/1984,MEF,A12,1373,33655,,L,?,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,7/3/1984,MEF,A12,1373,33656,,L,?,,,,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,7/3/1984,MEF,A15,1373,33657,,L,?,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,7/3/1984,MEF,A15,1373,33658,,L,?,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7/3/1984,MEF,A29,1373,33659,,L,?,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,7/3/1984,MEF,A29,1373,33660,,L,?,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,7/3/1984,MEF,A29,1373,33661,,L,?,,,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,7/1/1985,MEF,A39,1373,33662,,Ad,M,,,,7/1/1985,52.5,,,,,7/11/1986,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,7/2/1985,MEF,A39,1373,33663,L. Leg,Ad,F,,,,7/2/1985,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,7/11/1985,MEF,A29,1373,33664,R. Leg,L,?,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,7/11/1985,MEF,A29,1373,33665,,L,?,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,7/11/1985,MEF,A29,1373,33666,,L,?,,,,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,7/15/1985,MEF,B3,1373,33667,R. Leg,Ad,F,,,,7/15/1985,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,7/16/1985,MEF,A11,1373,33668,,L,?,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,7/16/1985,MEF,A11,1373,33669,,L,?,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,7/16/1985,MEF,A11,1373,33670,,L,?,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,7/16/1985,MEF,A12,1373,33671,,L,?,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,7/16/1985,MEF,A12,1373,33672,,L,?,,,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,7/16/1985,MEF,A39,1373,33673,,L,?,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,7/16/1985,MEF,A39,1373,33674,,L,?,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,7/16/1985,MEF,A39.,1373,33675,,L,?,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,7/17/1985,MEF,B4,1373,33676,,L,?,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,7/17/1985,MEF,B4,1373,33677,,L,?,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,7/17/1985,MEF,B4,1373,33678,,L,?,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,7/23/1985,MEF,B3,1373,33679,,L,?,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,7/23/1985,MEF,B3,1373,33680,,Ad,M,,,,7/23/1985,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,7/10/1986,MEF,A12,1373,33681,,L,?,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,7/10/1986,MEF,A12,1373,33682,,L,?,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,7/10/1986,MEF,A12,1373,33683,,L,?,,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,7/11/1986,MEF,A39,1373,33684,,L,?,,,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,7/11/1986,MEF,A39,1373,33685,,Ad,F,,,,7/11/1986,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,7/11/1986,MEF,A39,1373,33686,,Fl,?,,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,7/12/1986,MEF,B3,1373,33687,,L,?,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7/12/1986,MEF,B3,1373,33688,,L,?,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7/12/1986,MEF,B3,1373,33689,,Ad,M,,,,7/12/1986,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,7/12/1986,MEF,B3,1373,33690,,Ad,F,,,,7/12/1986,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,7/8/1987,MEF,A11,1373,33691,,Ad,F,,,,7/8/1987,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,7/9/1987,MEF,A29,1373,33692,,L,?,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,7/9/1987,MEF,A29,1373,33693,,L,?,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,7/9/1987,MEF,A29,1373,33694,,L,?,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,7/10/1987,MEF,A11,1373,33695,,L,?,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,7/10/1987,MEF,A11,1373,33696,,L,?,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7/10/1987,MEF,A11,1373,33697,,L,?,,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,7/10/1987,MEF,A4,1373,33698,,L,?,,,,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,7/11/1987,MEF,A13,1373,33699,,Ad,F,,,,7/11/1987,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,7/12/1987,MEF,A13,1373,33700,,L,?,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,7/12/1987,MEF,A13,1373,33701,,L,?,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,7/24/1987,MEF,A4,1373,33702,,L,?,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,7/7/1988,MEF,A8,1373,33703,,Ad ,F,,,,7/7/1988,70,,,,,6/27/1989,58,,,,,6/27/1990,72,,,,,7/9/1990,63.5,147,,,64,7/3/1992,58,132,,,65,,,,,,,6/15/1993,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7/8/1988,MEF,A8,1373,33704,,Ad,M,,,,7/8/1988,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,7/8/1988,MEF,A4,1373,33705,,Ad,M,,,,7/8/1988,59,,,,,7/6/1989,51.5,,,,,7/7/1990,53,132,,,,7/10/1991,57,133,,,64,7/2/1992,55,134,,,55,6/22/1993,50,,,,,6/30/1993,55,136,104,,,6/21/1994,54.5,,,,,6/12/1996,60.5,132,102,,,6/17/1997,57.5,,104,,,7/10/1997,55.5,,107,,63,,,,,,,,,,,,,,
103,7/9/1988,MEF,A8,1373,33706,,L,?,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
